0	complaining
1	are also being encouraged
0	failing to support
1	it had to happen and the sooner the better
0	desperately needs
1	to win
0	many years of decay
0	no quick fix
0	is happy
0	long and painful
1	now a reality
1	fully back
1	to be brought to justice
0	nobody is happy
0	a very complicated process
1	firm and decisive
1	to make some bold decisions
1	was hoping
0	a decade of dramatic economic decline
1	is ready to respect
0	suffering from
1	the possibility of a democratic , stable and prosperous
0	would surely be higher still
1	easier and more motivating
1	integral part of the successful formula
0	had forbidden
0	suffering from some intoxication
0	far from perfect
1	backing
0	soured relations between
0	fell out
0	mounting rivalry
1	alleged support
0	a hostile nation
0	have each accused the other
0	bowed to
0	totally dependent
0	lose control
0	warned
0	to heel
1	are eager
0	bowed to pressure
0	to its knees
0	military adventurism
1	a power
1	will bear witness
0	would boost
0	threaten
0	most heavily armed place in the world
0	dangerous flashpoint
0	wanted to avoid
0	a superficial exercise
0	accusing
0	merely speaks
1	expected
0	deep divergences
1	being biased in favour of
1	is interested
0	negatively
1	favours
1	has called for
0	biased
0	claims
0	was biased against
0	complaints of
0	suspicions
1	can still break through
1	support of
0	squeezing
1	will push for
0	ruinous mistake
0	playing with fire
0	subverts
0	trying to provoke protests
1	rules in favour
1	would like to tell
1	endorsed
0	his mdc lot
0	will not
1	to endorse
0	most dangerous
0	expressed concern
0	shoot the man out of office
1	called for
0	that extreme
0	keen to fight
0	are agitating
0	allegedly threatening
0	will remove you violently
0	are reluctant
0	villains
0	do n't want
1	do support
0	challenged
0	flirting with
0	at it again
0	charges
0	opposed
0	alleged
0	wants to speak the language of violence
0	shoot president mugabe out of office
1	aimed
0	fears
1	favouring independence
1	recognition
1	welcomed
0	has refused to bow
1	sought
1	peaceful unification
1	with respect to the principles of democracy and freedom
1	will benefit
1	is optimistic
1	voluntary
0	parliamentarian
0	still - tense relationship
0	our renegade province
1	favour independence
0	unusual
1	can not prevent
0	so worried
0	disapproved
0	so - called stop - over tactic
1	favouring independence
0	will not resort
0	private diplomacy
1	hope
1	elevates its image in international society
0	protests
0	opposes
1	has been invited
1	can serve as a model
1	the power of
1	gained high appraisal
0	gulf between
0	do not possess the necessary expertise
1	it is a positive development
0	is an act of objectionable brutality
0	just to gain popularity
0	may feel uneasy
0	this is a question of
1	that concessions are sufficiently concrete
0	certain excesses
0	should not be loaded with all the world's sins
1	it is reassuring to believe
0	does not function optimally
0	is colored by leftist ideology
0	hype
0	even worse
0	fostering trade anarchy
1	resolute defender
0	this is no blind violence but rather targeted violence
0	there is no alternative to it but conflict , isolation , nationalism , and ultimately war
0	cold monster
0	wants
1	sided with
1	seeks
0	immense gulf between
0	slow
0	are needed
0	the brutality with which this closure was implemented was unheard of
0	thought
0	are worried
0	was annoyed
1	left behind
0	lost the game
0	but there is little i can do
0	would totally liberalize
0	only got worse
1	more than that
1	do not realize
0	ideological fight against capitalism
0	we are living in a politically highly sophisticated society
0	'summits , '
0	but the alternatives are worse
0	rejects
0	think
1	therefore
0	not
0	however
0	not what it is all about
1	see
0	is accused
0	illegible
0	crises
0	fierce competition
0	no right
0	declining to comply
1	eagerness
1	appropriate , serious , and worthy measures
0	reject
1	hoped
1	beneficial
0	had relentlessly demonstrated
1	relative back up
0	abandonment
0	declining
0	discrediting
0	in fact unprecedented
1	agreement or understanding
0	more serious
1	optimistic and hopeful
0	protests leveled by
1	promotion of world security , improvement of economic conditions , defusing regional and global crises and conflicts , checking unleashed competition for rearmament , reduction of the gap between the mainstream and peripheral countries
0	weak
0	fierce opposition
1	legitimate and competent
0	were opposing
0	got out of hand
1	anticipated
0	concocted
1	peace and stability of the world
0	without effective
0	fierce demonstrations
0	relentlessly demonstrated
0	criticisms
0	in fact poverty
0	does not entitle
0	reached boiling point
0	roughly
0	the demonstrations
0	lacked conclusiveness and were not operational
0	reducing their margin of security
0	firm opposition
1	appraised
0	flopped completely
0	reserves
